Terim_TR,StandartKarsilik_EN,Terim_ES,Terim_PT,Terim_RU,KisaKod,NamingToken_TR,KullanimTipi,KategoriKumesi,Kaynak
Ana,Top,Top,Top,Top,,Ana,token,Param Token,semantic_dictionary
Anahtar,Switch,Interruptor,Interruptor,Выключатель,ANH,Anahtar,manual_seed,Multilingual,manual+research_seed
Analiz,Method,Method,Method,Method,,Analiz,token,Param Token,semantic_dictionary
Analiz bileşen kodu,Analysis component code,análisis componente código,análise componente código,анализ компонент код,,Analizbilesenkodu,aciklama,Description,semantic_dictionary
Analiz girdisi tipi: işçilik / makine / malzeme / genel gider,Analysis input type: labour / plant / material / overhead,Tipo de entrada de análisis: mano de obra / equipo / material / gastos generales,Tipo de entrada de análise: mão de obra / equipamento / material / despesas gerais,Тип входных данных анализа: труд / оборудование / материал / накладные расходы,,Analizgirdisitipi:iscilik/makine/malzeme/genelgider,aciklama,Description,semantic_dictionary
Analiz yöntemi (Mod Birlest./Zaman Tanım/İtme),Analysis method (Modal Combination / Time History / Pushover),Método de análisis (combinación modal / historial temporal / pushover),Método de análise (combinação modal / histórico no tempo / pushover),Метод анализа (модальное сочетание / временная история / pushover),,Analizyontemi(ModBirlest./ZamanTanim/Itme),aciklama,Description,semantic_dictionary
AnalizBilesenKodu,AnalysisComponentCode,AnalysisComponentCode,AnalysisComponentCode,AnalysisComponentCode,,AnalizBilesenKodu,param_ad,Shared Parameter,semantic_dictionary
AnalizGirdiTipi,AnalysisInputType,AnalysisInputType,AnalysisInputType,AnalysisInputType,,AnalizGirdiTipi,param_ad,Shared Parameter,semantic_dictionary
AnalizYontemi,AnalysisMethod,AnalysisMethod,AnalysisMethod,AnalysisMethod,,AnalizYontemi,param_ad,Shared Parameter,semantic_dictionary
Ankraj,Anchorage,Anchorage,Anchorage,Anchorage,,Ankraj,token,Param Token,semantic_dictionary
Araligi,Spacing,Spacing,Spacing,Spacing,,Araligi,token,Param Token,semantic_dictionary
Arka,Rear,Rear,Rear,Rear,,Arka,token,Param Token,semantic_dictionary
Arka cephe çekme mesafesi (m),Rear setback distance (m),Distancia de retiro posterior (m),Distância de recuo posterior (m),Расстояние заднего отступа (м),,Arkacephecekmemesafesi(m),aciklama,Description,semantic_dictionary
ArkaKcekmeMesafesi,RearSetbackDistance,RearSetbackDistance,RearSetbackDistance,RearSetbackDistance,,ArkaKcekmeMesafesi,param_ad,Shared Parameter,semantic_dictionary
Asamasi,Stage,Stage,Stage,Stage,,Asamasi,token,Param Token,semantic_dictionary
Atamasi,Assignment,Assignment,Assignment,Assignment,,Atamasi,token,Param Token,semantic_dictionary
Açıklama,Description,Descripción,Descrição,Описание,,Aciklama,manual_seed,Multilingual,manual+research_seed
Açıklama / uyarı notu,Description / warning note,Descripción / nota de advertencia,Descrição / nota de advertência,Описание / предупреждающая заметка,,Aciklama/uyarinotu,aciklama,Description,semantic_dictionary
Açılma tipi: Sabit/Kanatlı/Sürgülü,Opening type: Fixed / Casement / Sliding,Tipo de apertura: fija / abatible / corredera,Tipo de abertura: fixa / de batente / de correr,Тип открывания: глухое / распашное / раздвижное,,Acilmatipi:Sabit/Kanatli/Surgulu,aciklama,Description,semantic_dictionary
Açılış yönü: İçe/Dışa/Sürgülü/Döner,Opening direction: Inward / Outward / Sliding / Revolving,Dirección de apertura: hacia adentro / hacia afuera / corredera / giratoria,Direção de abertura: para dentro / para fora / de correr / giratória,Направление открывания: внутрь / наружу / раздвижное / вращающееся,,Acilisyonu:Ice/Disa/Surgulu/Doner,aciklama,Description,semantic_dictionary
Ağırlık,Weight,Peso,Peso,Вес,,Agirlik,manual_seed,Multilingual,manual+research_seed
BA,RC,RC,RC,RC,,BA,token,Param Token,semantic_dictionary
"BA eleman kodu (K01, P01, KR01, D01, T01)","RC element code (C01, B01, SW01, S01, F01)","RC elemento código (C01, B01, SW01, S01, F01)","RC elemento código (C01, B01, SW01, S01, F01)","RC элемент код (C01, B01, SW01, S01, F01)",,"BAelemankodu(K01,P01,KR01,D01,T01)",aciklama,Description,semantic_dictionary
BA_Aciklama,RCNote,RCNote,RCNote,RCNote,,BA_Aciklama,param_ad,Shared Parameter,semantic_dictionary
BA_AnaDonatiAlt,RCBottomMainRebar,RCBottomMainRebar,RCBottomMainRebar,RCBottomMainRebar,,BA_AnaDonatiAlt,param_ad,Shared Parameter,semantic_dictionary
BA_AnaDonatiUst,RCTopMainRebar,RCTopMainRebar,RCTopMainRebar,RCTopMainRebar,,BA_AnaDonatiUst,param_ad,Shared Parameter,semantic_dictionary
BA_AnkrajBoyu,RCAnchorageLength,RCAnchorageLength,RCAnchorageLength,RCAnchorageLength,,BA_AnkrajBoyu,param_ad,Shared Parameter,semantic_dictionary
BA_BetonSinifi,RCConcreteClass,RCConcreteClass,RCConcreteClass,RCConcreteClass,,BA_BetonSinifi,param_ad,Shared Parameter,semantic_dictionary
BA_DonatiNotu,RCRebarNote,RCRebarNote,RCRebarNote,RCRebarNote,,BA_DonatiNotu,param_ad,Shared Parameter,semantic_dictionary
BA_DonatiSinifi,RCRebarClass,RCRebarClass,RCRebarClass,RCRebarClass,,BA_DonatiSinifi,param_ad,Shared Parameter,semantic_dictionary
BA_DosemeKalinligi,RCSlabThickness,RCSlabThickness,RCSlabThickness,RCSlabThickness,,BA_DosemeKalinligi,param_ad,Shared Parameter,semantic_dictionary
BA_EkBoyu,RCLapSpliceLength,RCLapSpliceLength,RCLapSpliceLength,RCLapSpliceLength,,BA_EkBoyu,param_ad,Shared Parameter,semantic_dictionary
BA_ElemanKodu,RCElementCode,RCElementCode,RCElementCode,RCElementCode,,BA_ElemanKodu,param_ad,Shared Parameter,semantic_dictionary
BA_ElemanTipi,BAElementType,BAElementType,BAElementType,BAElementType,,BA_ElemanTipi,param_ad,Shared Parameter,semantic_dictionary
BA_EtriyeAraligi,RCStirrupSpacing,RCStirrupSpacing,RCStirrupSpacing,RCStirrupSpacing,,BA_EtriyeAraligi,param_ad,Shared Parameter,semantic_dictionary
BA_EtriyeCapi,RCStirrupDiameter,RCStirrupDiameter,RCStirrupDiameter,RCStirrupDiameter,,BA_EtriyeCapi,param_ad,Shared Parameter,semantic_dictionary
BA_FilletoVarMi,RCHasCornerBars,RCHasCornerBars,RCHasCornerBars,RCHasCornerBars,,BA_FilletoVarMi,param_ad,Shared Parameter,semantic_dictionary
BA_GovdeDonatisi,RCSideFaceRebar,RCSideFaceRebar,RCSideFaceRebar,RCSideFaceRebar,,BA_GovdeDonatisi,param_ad,Shared Parameter,semantic_dictionary
BA_HesapModelID,RCCalculationModelID,RCCalculationModelID,RCCalculationModelID,RCCalculationModelID,,BA_HesapModelID,param_ad,Shared Parameter,semantic_dictionary
BA_IFCExportSinifi,RCIFCExportClass,RCIFCExportClass,RCIFCExportClass,RCIFCExportClass,,BA_IFCExportSinifi,param_ad,Shared Parameter,semantic_dictionary
BA_ImalatDurumu,RCConstructionStatus,RCConstructionStatus,RCConstructionStatus,RCConstructionStatus,,BA_ImalatDurumu,param_ad,Shared Parameter,semantic_dictionary
BA_KesitGenislik,RCSectionWidth,RCSectionWidth,RCSectionWidth,RCSectionWidth,,BA_KesitGenislik,param_ad,Shared Parameter,semantic_dictionary
BA_KesitYukseklik,RCSectionHeight,RCSectionHeight,RCSectionHeight,RCSectionHeight,,BA_KesitYukseklik,param_ad,Shared Parameter,semantic_dictionary
BA_KontrolEden,RCCheckedBy,RCCheckedBy,RCCheckedBy,RCCheckedBy,,BA_KontrolEden,param_ad,Shared Parameter,semantic_dictionary
BA_KontrolTarihi,RCCheckDate,RCCheckDate,RCCheckDate,RCCheckDate,,BA_KontrolTarihi,param_ad,Shared Parameter,semantic_dictionary
BA_NominalBetonOrtusu,RCNominalCover,RCNominalCover,RCNominalCover,RCNominalCover,,BA_NominalBetonOrtusu,param_ad,Shared Parameter,semantic_dictionary
BA_Onaylayan,RCApprovedBy,RCApprovedBy,RCApprovedBy,RCApprovedBy,,BA_Onaylayan,param_ad,Shared Parameter,semantic_dictionary
BA_OnayTarihi,RCApprovalDate,RCApprovalDate,RCApprovalDate,RCApprovalDate,,BA_OnayTarihi,param_ad,Shared Parameter,semantic_dictionary
BA_PasPayiKontrol,RCCoverCheck,RCCoverCheck,RCCoverCheck,RCCoverCheck,,BA_PasPayiKontrol,param_ad,Shared Parameter,semantic_dictionary
BA_PerdeKalinligi,BAShearWallThickness,BAShearWallThickness,BAShearWallThickness,BAShearWallThickness,,BA_PerdeKalinligi,param_ad,Shared Parameter,semantic_dictionary
BA_PilyeVarMi,RCHasBentUpBars,RCHasBentUpBars,RCHasBentUpBars,RCHasBentUpBars,,BA_PilyeVarMi,param_ad,Shared Parameter,semantic_dictionary
BA_PrecastMi,RCIsPrecast,RCIsPrecast,RCIsPrecast,RCIsPrecast,,BA_PrecastMi,param_ad,Shared Parameter,semantic_dictionary
BA_RevizyonGerekiyorMu,RCRevisionRequired,RCRevisionRequired,RCRevisionRequired,RCRevisionRequired,,BA_RevizyonGerekiyorMu,param_ad,Shared Parameter,semantic_dictionary
BA_SiklastirmaAraligi,RCConfinementSpacing,RCConfinementSpacing,RCConfinementSpacing,RCConfinementSpacing,,BA_SiklastirmaAraligi,param_ad,Shared Parameter,semantic_dictionary
BA_SiklastirmaBolgesiVarMi,RCConfinementZone,RCConfinementZone,RCConfinementZone,RCConfinementZone,,BA_SiklastirmaBolgesiVarMi,param_ad,Shared Parameter,semantic_dictionary
BA_TasiyiciSistemAltTuru,RCStructuralSubType,RCStructuralSubType,RCStructuralSubType,RCStructuralSubType,,BA_TasiyiciSistemAltTuru,param_ad,Shared Parameter,semantic_dictionary
BA_TBDY_UyumDurumu,RCTBDYComplianceStatus,RCTBDYComplianceStatus,RCTBDYComplianceStatus,RCTBDYComplianceStatus,,BA_TBDY_UyumDurumu,param_ad,Shared Parameter,semantic_dictionary
BA_TemelTipi,RCFoundationType,RCFoundationType,RCFoundationType,RCFoundationType,,BA_TemelTipi,param_ad,Shared Parameter,semantic_dictionary
BA_TS500_KontrolDurumu,RCTS500ComplianceStatus,RCTS500ComplianceStatus,RCTS500ComplianceStatus,RCTS500ComplianceStatus,,BA_TS500_KontrolDurumu,param_ad,Shared Parameter,semantic_dictionary
Bagi,Link,Link,Link,Link,,Bagi,token,Param Token,semantic_dictionary
Bakim,Maintenance,Maintenance,Maintenance,Maintenance,,Bakim,token,Param Token,semantic_dictionary
Bar,Bar,Bar,Bar,Bar,,Bar,token,Param Token,semantic_dictionary
Basinc,Pressure,Pressure,Pressure,Pressure,,Basinc,token,Param Token,semantic_dictionary
Baskın malzeme veya malzeme ailesi,Dominant material or material family,Material o familia de material dominante,Material ou família de material dominante,Преобладающий материал или семейство материалов,,Baskinmalzemeveyamalzemeailesi,aciklama,Description,semantic_dictionary
Basınc,Pressure,Pressure,Pressure,Pressure,,Basinc,token,Param Token,semantic_dictionary
Basınç kaybı (Pa),Pressure drop (Pa),Pérdida de presión (Pa),Perda de pressão (Pa),Потеря давления (Па),,Basinckaybi(Pa),aciklama,Description,semantic_dictionary
Basınç sınıfı PN,Pressure class PN,Clase de presión PN,Classe de pressão PN,Класс давления PN,,BasincsinifiPN,aciklama,Description,semantic_dictionary
Basınç sınıfı PN6/PN10/PN16/PN25,Pressure class PN6/PN10/PN16/PN25,Clase de presión PN6/PN10/PN16/PN25,Classe de pressão PN6/PN10/PN16/PN25,Класс давления PN6/PN10/PN16/PN25,,BasincsinifiPN6/PN10/PN16/PN25,aciklama,Description,semantic_dictionary
Bağlı hesap modeli ID,Linked calculation model ID,ID del modelo de cálculo vinculado,ID do modelo de cálculo vinculado,ID связанной расчетной модели,,BaglihesapmodeliID,aciklama,Description,semantic_dictionary
Bağlı hesap modeli kimliği (SAP/ETABS ID),Linked calculation model ID (SAP/ETABS ID),ID del modelo de cálculo vinculado (ID SAP/ETABS),ID do modelo de cálculo vinculado (ID SAP/ETABS),ID связанной расчетной модели (SAP/ETABS ID),,Baglihesapmodelikimligi(SAP/ETABSID),aciklama,Description,semantic_dictionary
"Bağlı pano adı (örn: DP-01, ATP-01)","Connected panel name (e.g. DB-01, MDB-01)","Nombre del tablero conectado (p. ej. DB-01, MDB-01)","Nome do quadro conectado (ex.: DB-01, MDB-01)","Имя подключенной панели (например, DB-01, MDB-01)",,"Baglipanoadi(orn:DP-01,ATP-01)",aciklama,Description,semantic_dictionary
Bearing,Bearing,Bearing,Bearing,Bearing,,Bearing,token,Param Token,semantic_dictionary
BEP-TR hesap raporu referans no,BEP-TR calculation report reference number,Número de referencia del informe de cálculo BEP-TR,Número de referência do relatório de cálculo BEP-TR,Номер ссылки на расчетный отчет BEP-TR,,BEP-TRhesapraporureferansno,aciklama,Description,semantic_dictionary
BepTrRaporNo,BEPTRReportNumber,BEPTRReportNumber,BEPTRReportNumber,BEPTRReportNumber,,BepTrRaporNo,param_ad,Shared Parameter,semantic_dictionary
BES,BES,BES,BES,BES,,BES,token,Param Token,semantic_dictionary
BES_AltGrup,BESAltGroup,BESAltGroup,BESAltGroup,BESAltGroup,,BES_AltGrup,param_ad,Shared Parameter,semantic_dictionary
BES_AltKod,BESAltCode,BESAltCode,BESAltCode,BESAltCode,,BES_AltKod,param_ad,Shared Parameter,semantic_dictionary
BES_AnaGrup,BESAnaGroup,BESAnaGroup,BESAnaGroup,BESAnaGroup,,BES_AnaGrup,param_ad,Shared Parameter,semantic_dictionary
BES_AnaKod,BESAnaCode,BESAnaCode,BESAnaCode,BESAnaCode,,BES_AnaKod,param_ad,Shared Parameter,semantic_dictionary
BES_BakimGrubu,BESMaintenanceGroup,BESMaintenanceGroup,BESMaintenanceGroup,BESMaintenanceGroup,,BES_BakimGrubu,param_ad,Shared Parameter,semantic_dictionary
BES_ElemanAdi,BESElementName,BESElementName,BESElementName,BESElementName,,BES_ElemanAdi,param_ad,Shared Parameter,semantic_dictionary
BES_ElemanKodu,BESElementCode,BESElementCode,BESElementCode,BESElementCode,,BES_ElemanKodu,param_ad,Shared Parameter,semantic_dictionary
BES_ImalatSirasi,BESConstructionSequence,BESConstructionSequence,BESConstructionSequence,BESConstructionSequence,,BES_ImalatSirasi,param_ad,Shared Parameter,semantic_dictionary
BES_Islev,BESFunctionalRole,BESFunctionalRole,BESFunctionalRole,BESFunctionalRole,,BES_Islev,param_ad,Shared Parameter,semantic_dictionary
BES_MalzemeAilesi,BESMaterialFamily,BESMaterialFamily,BESMaterialFamily,BESMaterialFamily,,BES_MalzemeAilesi,param_ad,Shared Parameter,semantic_dictionary
BES_TeknikSistem,BESTechnicalSystem,BESTechnicalSystem,BESTechnicalSystem,BESTechnicalSystem,,BES_TeknikSistem,param_ad,Shared Parameter,semantic_dictionary
BES_UretimDisiplini,BESManufacturingDiscipline,BESManufacturingDiscipline,BESManufacturingDiscipline,BESManufacturingDiscipline,,BES_UretimDisiplini,param_ad,Shared Parameter,semantic_dictionary
Beton,Concrete,Hormigón,Betão,Бетон,,Beton,token,Param Token,semantic_dictionary
Betonarme/Çelik/Ahşap/Yığma,Reinforced concrete / Steel / Timber / Masonry,Hormigón armado / acero / madera / mampostería,Betão armado / aço / madeira / alvenaria,Железобетон / сталь / древесина / кладка,,Betonarme/Celik/Ahsap/Yigma,aciklama,Description,semantic_dictionary
BetonSinifi_Proje,ConcreteClassProject,ConcreteClassProject,ConcreteClassProject,ConcreteClassProject,,BetonSinifi_Proje,param_ad,Shared Parameter,semantic_dictionary
Bilesen,Component,Component,Component,Component,,Bilesen,token,Param Token,semantic_dictionary
Bilgi,Information,Information,Information,Information,,Bilgi,token,Param Token,semantic_dictionary
Bilgi teslim aşaması (Konsept / Ön / Kesin / Uygulama / As-built),Information delivery stage (Concept / Preliminary / Final / Construction / As-built),Etapa de entrega de información (concepto / preliminar / final / construcción / conforme a obra),Etapa de entrega da informação (conceito / preliminar / final / construção / conforme construído),Этап выдачи информации (концепция / предварительный / финальный / строительство / как построено),,Bilgiteslimasamasi(Konsept/On/Kesin/Uygulama/As-built),aciklama,Description,semantic_dictionary
Bilgisi,Information,Information,Information,Information,,Bilgisi,token,Param Token,semantic_dictionary
BIM model sorumlusu adı,BIM model manager name,Nombre del gestor del modelo BIM,Nome do gestor do modelo BIM,Имя менеджера BIM-модели,,BIMmodelsorumlusuadi,aciklama,Description,semantic_dictionary
Bina,Building,Edificio,Edifício / Prédio,Здание,,Bina,token,Param Token,semantic_dictionary
Bina bölümü / kanat / çekirdek / servis alanı,Building section / wing / core / service area,Sección del edificio / ala / núcleo / área de servicio,Seção do edifício / ala / núcleo / área de serviço,Секция здания / крыло / ядро / сервисная зона,,Binabolumu/kanat/cekirdek/servisalani,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması alt grup adı,Building element classification sub-group name,edificio elemento clasificación sub-grupo nombre,edifício elemento classificação sub-grupo nome,здание элемент классификация sub-группа имя,,Binaelemansiniflandirmasialtgrupadi,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması alt grup kodu,Building element classification sub-group code,edificio elemento clasificación sub-grupo código,edifício elemento classificação sub-grupo código,здание элемент классификация sub-группа код,,Binaelemansiniflandirmasialtgrupkodu,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması ana grup adı,Building element classification primary group name,edificio elemento clasificación primary grupo nombre,edifício elemento classificação primary grupo nome,здание элемент классификация primary группа имя,,Binaelemansiniflandirmasianagrupadi,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması ana grup kodu,Building element classification primary group code,edificio elemento clasificación primary grupo código,edifício elemento classificação primary grupo código,здание элемент классификация primary группа код,,Binaelemansiniflandirmasianagrupkodu,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması detay eleman adı,Building element classification detail element name,edificio elemento clasificación detail elemento nombre,edifício elemento classificação detail elemento nome,здание элемент классификация detail элемент имя,,Binaelemansiniflandirmasidetayelemanadi,aciklama,Description,semantic_dictionary
Bina eleman sınıflandırması detay eleman kodu,Building element classification detail element code,edificio elemento clasificación detail elemento código,edifício elemento classificação detail elemento código,здание элемент классификация detail элемент код,,Binaelemansiniflandirmasidetayelemankodu,aciklama,Description,semantic_dictionary
Bina enerji sınıfı A+/A/B/C/D/E/F/G (BEP-TR),Building energy class A+/A/B/C/D/E/F/G (BEP-TR),edificio energy clase A+/A/B/C/D/E/F/G (BEP-TR),edifício energy classe A+/A/B/C/D/E/F/G (BEP-TR),здание energy класс A+/A/B/C/D/E/F/G (BEP-TR),,BinaenerjisinifiA+/A/B/C/D/E/F/G(BEP-TR),aciklama,Description,semantic_dictionary
Bina kullanım sertifikası no,Building occupancy permit number,edificio occupancy permiso número,edifício occupancy licença número,здание occupancy разрешение номер,,Binakullanimsertifikasino,aciklama,Description,semantic_dictionary
Bina yükseklik sınıfı (BYKHY),Building height class (BYKHY),edificio altura clase (BYKHY),edifício altura classe (BYKHY),здание высота класс (BYKHY),,Binayuksekliksinifi(BYKHY),aciklama,Description,semantic_dictionary
BinaBolumu,BuildingSection,BuildingSection,BuildingSection,BuildingSection,,BinaBolumu,param_ad,Shared Parameter,semantic_dictionary
Bindirme ek boyu ls (mm) — TS 500 Md.8,Lap splice length ls (mm) — TS 500 Art.8,Lap splice longitud ls (mm) — TS 500 Art.8,Lap splice comprimento ls (mm) — TS 500 Art.8,Lap splice длина ls (mm) — TS 500 Art.8,,Bindirmeekboyuls(mm)—TS500Md.8,aciklama,Description,semantic_dictionary
Birim,Unit,Unit,Unit,Unit,,Birim,token,Param Token,semantic_dictionary
"Birim (m, m2, m3, adet, ton vb)","Unit (m, m2, m3, pcs, ton etc.)","unidad (m, m2, m3, pcs, ton etc.)","unidade (m, m2, m3, pcs, ton etc.)","единица (m, m2, m3, pcs, ton etc.)",,"Birim(m,m2,m3,adet,tonvb)",aciklama,Description,semantic_dictionary
Birim fiyat (TL),Unit price (TRY),unidad price (TRY),unidade price (TRY),единица price (TRY),,Birimfiyat(TL),aciklama,Description,semantic_dictionary
"Birim fiyat kaynağı (ÇŞİDB, idare, özel analiz vb.)","Unit price source (MoEUA, authority, private analysis etc.)","unidad price source (MoEUA, authority, private análisis etc.)","unidade price source (MoEUA, authority, private análise etc.)","единица price source (MoEUA, authority, private анализ etc.)",,"Birimfiyatkaynagi(CSIDB,idare,ozelanalizvb.)",aciklama,Description,semantic_dictionary
Birim fiyat yılı,Unit price year,unidad price year,unidade price year,единица price year,,Birimfiyatyili,aciklama,Description,semantic_dictionary
Birim: m / m2 / adet / kW vb,Unit: m / m2 / pcs / kW etc.,unidad: m / m2 / pcs / kW etc.,unidade: m / m2 / pcs / kW etc.,единица: m / m2 / pcs / kW etc.,,Birim:m/m2/adet/kWvb,aciklama,Description,semantic_dictionary
Birincil enerji tüketimi (kWh/m2.yıl),Primary energy consumption (kWh/m2.year),Primary energy consumption (kWh/m2.year),Primary energy consumption (kWh/m2.year),Primary energy consumption (kWh/m2.year),,Birincilenerjituketimi(kWh/m2.yil),aciklama,Description,semantic_dictionary
Birincil sınıflandırma kodu,Primary classification code,Primary clasificación código,Primary classificação código,Primary классификация код,,Birincilsiniflandirmakodu,aciklama,Description,semantic_dictionary
Blok,Block,Block,Block,Block,,Blok,token,Param Token,semantic_dictionary
Blok / bina alt birim kodu,Block / building sub-unit code,bloque / edificio sub-unidad código,bloco / edifício sub-unidade código,блок / здание sub-единица код,,Blok/binaaltbirimkodu,aciklama,Description,semantic_dictionary
BlokKodu,BlockCode,BlockCode,BlockCode,BlockCode,,BlokKodu,param_ad,Shared Parameter,semantic_dictionary
Bolgesi,Zone,Zone,Zone,Zone,,Bolgesi,token,Param Token,semantic_dictionary
Bolumu,Section,Section,Section,Section,,Bolumu,token,Param Token,semantic_dictionary
Bor,Pipe,Pipe,Pipe,Pipe,,Bor,token,Param Token,semantic_dictionary
Boru malzemesi: PPR/PVC/KPVC/Bakır/HDPE,Pipe material: PPR / PVC / CPVC / Copper / HDPE,tubería material: PPR / PVC / CPVC / Copper / HDPE,tubulação material: PPR / PVC / CPVC / Copper / HDPE,труба материал: PPR / PVC / CPVC / Copper / HDPE,,Borumalzemesi:PPR/PVC/KPVC/Bakir/HDPE,aciklama,Description,semantic_dictionary
Boru malzemesi: Çelik/Bakır/PPR/PEX/CPVC,Pipe material: Steel / Copper / PPR / PEX / CPVC,tubería material: Steel / Copper / PPR / PEX / CPVC,tubulação material: Steel / Copper / PPR / PEX / CPVC,труба материал: Steel / Copper / PPR / PEX / CPVC,,Borumalzemesi:Celik/Bakir/PPR/PEX/CPVC,aciklama,Description,semantic_dictionary
Boru yalıtım tipi ve kalınlığı,Pipe insulation type and thickness,tubería aislamiento tipo and espesor,tubulação isolamento tipo and espessura,труба изоляция тип and толщина,,Boruyalitimtipivekalinligi,aciklama,Description,semantic_dictionary
Boru çapı DN (mm),Pipe diameter DN (mm),tubería diameter DN (mm),tubulação diameter DN (mm),труба diameter DN (mm),,BorucapiDN(mm),aciklama,Description,semantic_dictionary
Boyu,Length,Length,Length,Length,,Boyu,token,Param Token,semantic_dictionary
Braille,Braille,Braille,Braille,Braille,,Braille,token,Param Token,semantic_dictionary
Braille/sesli tabelalar var mı?,Are there Braille / audio signage?,Are there Braille / audio signage?,Are there Braille / audio signage?,Are there Braille / audio signage?,,Braille/seslitabelalarvarmi?,aciklama,Description,semantic_dictionary
Brut,Gross,Gross,Gross,Gross,,Brut,token,Param Token,semantic_dictionary
BrutAlan,GrossArea,GrossArea,GrossArea,GrossArea,,BrutAlan,param_ad,Shared Parameter,semantic_dictionary
Brüt alan (m2),Gross floor area (m2),bruta piso área (m2),bruta andar área (m2),общая этаж площадь (m2),,Brutalan(m2),aciklama,Description,semantic_dictionary
bSDisiplin,bSTRDisciplineCode,bSTRDisciplineCode,bSTRDisciplineCode,bSTRDisciplineCode,,BSDisiplin,param_ad,Shared Parameter,semantic_dictionary
bSEleman,bSTRElementName,bSTRElementName,bSTRElementName,bSTRElementName,,BSEleman,param_ad,Shared Parameter,semantic_dictionary
bSGrup,bSTRGroupCode,bSTRGroupCode,bSTRGroupCode,bSTRGroupCode,,BSGrup,param_ad,Shared Parameter,semantic_dictionary
