SemanticAnahtar,StandartParametre_TR,StandartParametre_EN,KaynakDil,KaynakIfade,Description_TR,Description_EN,DataType,GroupName,CeviriKaynagi,GozdenGecirmeDurumu,EN_GroupName
proje_asamasi,TR_ProjeAsamasi,EN_ProjectStage,tr,TR_ProjeAsamasi,Ön / Kesin / Uygulama / Ruhsat projesi,Preliminary / Final / Construction Document / Permit project,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-GENERAL PROJECT INFO
proje_revizyon,TR_ProjeRevizyon,EN_ProjectRevision,tr,TR_ProjeRevizyon,Revizyon no ve tarihi,Revision number and date,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-GENERAL PROJECT INFO
cizim_no,TR_CizimNo,EN_DrawingNumber,tr,TR_CizimNo,Çizim/pafta numarası,Drawing / sheet number,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,guncellendi,EN-GENERAL PROJECT INFO
olcek,TR_Olcek,EN_Scale,tr,TR_Olcek,"Çizim ölçeği (1:50, 1:100, 1:200 vb)","Drawing scale (1:50, 1:100, 1:200 etc.)",TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,guncellendi,EN-GENERAL PROJECT INFO
yapi_sinifi,TR_YapiSinifi,EN_BuildingClass,tr,TR_YapiSinifi,Yapı sınıfı: Basit/Normal/Büyük/Özel,Building class: Simple / Normal / Large / Special,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
yapi_kullanim_amaci,TR_YapiKullanimAmaci,EN_BuildingUsePurpose,tr,TR_YapiKullanimAmaci,Konut/Ticari/Endüstriyel/Karma,Residential / Commercial / Industrial / Mixed,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
kat_adedi,TR_KatAdedi,EN_StoreyCount,tr,TR_KatAdedi,Toplam kat adedi (bodrum dahil),Total number of storeys (including basement),INTEGER,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
toplam_insaat_alani,TR_ToplamInsaatAlani,EN_TotalConstructionArea,tr,TR_ToplamInsaatAlani,Toplam inşaat alanı (m2),Total construction area (m2),AREA,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
brut_alan,TR_BrutAlan,EN_GrossArea,tr,TR_BrutAlan,Brüt alan (m2),Gross floor area (m2),AREA,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
net_alan,TR_NetAlan,EN_NetArea,tr,TR_NetAlan,Net alan (m2),Net floor area (m2),AREA,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
taban_alani,TR_TabanAlani,EN_FootprintArea,tr,TR_TabanAlani,Taban alanı (m2),Footprint area (m2),AREA,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
yukseklik_bina_h,TR_YukseklikBinaH,EN_BuildingHeight,tr,TR_YukseklikBinaH,BYKHY göre bina yüksekliği (m),Building height per BFRR (m),LENGTH,TR-YAPI BİLGİLERİ,shared_param_definition,guncellendi,EN-BUILDING INFO
kat_yuksekligi,TR_KatYuksekligi,EN_StoreyHeight,tr,TR_KatYuksekligi,Net kat yüksekliği (m),Net storey height (m),LENGTH,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
tasiyici_sistem,TR_TasiyiciSistem,EN_StructuralSystem,tr,TR_TasiyiciSistem,Betonarme/Çelik/Ahşap/Yığma,Reinforced concrete / Steel / Timber / Masonry,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
duvar_malzemesi,TR_DuvarMalzemesi,EN_WallMaterial,tr,TR_DuvarMalzemesi,Dış duvar malzemesi,Exterior wall material,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
cati_sistemi,TR_CatiSistemi,EN_RoofSystem,tr,TR_CatiSistemi,Çatı sistemi tipi,Roof system type,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
isletim_sertifikasi,TR_IsletimSertifikasi,EN_OccupancyCertificate,tr,TR_IsletimSertifikasi,Bina kullanım sertifikası no,Building occupancy permit number,TEXT,TR-YAPI BİLGİLERİ,shared_param_definition_manual_en,guncellendi,EN-BUILDING INFO
yang_bina_yuks_kat,TR_YangBinaYuksKat,EN_FireBuildingHeightClass,tr,TR_YangBinaYuksKat,Bina yükseklik sınıfı (BYKHY),Building height class (BYKHY),TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_kullanim_sinifi,TR_YangKullanimSinifi,EN_FireOccupancyClass,tr,TR_YangKullanimSinifi,Kullanım sınıfı (A1-G),Occupancy class (A1-G),TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_tehlike_sinifi,TR_YangTehlikeSinifi,EN_FireHazardClass,tr,TR_YangTehlikeSinifi,Yangın tehlike sınıfı,Fire hazard class,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_yapi_mal_sinifi,TR_YangYapiMalSinifi,EN_FireBuildingMaterialFireClass,tr,TR_YangYapiMalSinifi,Yapı malz. yangın sınıfı (A1-F/s/d),Building material fire class (A1-F/s/d),TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_kacinma_yolu,TR_YangKacinmaYolu,EN_FireMeansOfEscape,tr,TR_YangKacinmaYolu,Kaçınma yolu tipi ve sayısı,Escape route type and count,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_kacis_kor_mesafe,TR_YangKacisKorMesafe,EN_FireEscapeDistance,tr,TR_YangKacisKorMesafe,Maks. kaçış mesafesi (m),Maximum escape distance (m),LENGTH,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_merdiven,TR_YangMerdiven,EN_FireStair,tr,TR_YangMerdiven,Yangın merdiveni tipi,Fire escape stair type,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_merdiven_genislik,TR_YangMerdivenGenislik,EN_FireStairWidth,tr,TR_YangMerdivenGenislik,Merdiven genişliği (m),Stair width (m),LENGTH,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_duvar_direnc,TR_YangDuvarDirenc,EN_FireWallResistance,tr,TR_YangDuvarDirenc,Duvar direnç süresi (REI-xx),Wall fire resistance duration (REI-xx),TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_kapi_sinifi,TR_YangKapiSinifi,EN_FireDoorFireClass,tr,TR_YangKapiSinifi,Yangın kapısı sınıfı (EI30/EI60/EI90),Fire door class (EI30/EI60/EI90),TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_sprinkler_var_mi,TR_YangSprinklerVarMi,EN_FireHasSprinkler,tr,TR_YangSprinklerVarMi,Sprinkler sistemi var mı?,Is there a sprinkler system?,YESNO,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_sprinkler_tipi,TR_YangSprinklerTipi,EN_FireSprinklerType,tr,TR_YangSprinklerTipi,Sprinkler sistemi tipi,Sprinkler system type,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_dum_tas_barieri,TR_YangDumTasBarieri,EN_FireSmokeBarrier,tr,TR_YangDumTasBarieri,Duman taşıma bariyeri var mı?,Is there a smoke barrier?,YESNO,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_dum_kontrol_sis,TR_YangDumKontrolSis,EN_FireSmokeControlSystem,tr,TR_YangDumKontrolSis,Duman kontrol sistemi tipi,Smoke control system type,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_ihbar_sistemi,TR_YangIhbarSistemi,EN_FireFireAlarmSystem,tr,TR_YangIhbarSistemi,Yangın ihbar sistemi tipi,Fire alarm system type,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_hidrant_var_mi,TR_YangHidrantVarMi,EN_FireHasHydrant,tr,TR_YangHidrantVarMi,Yangın hidrantı var mı?,Is there a fire hydrant?,YESNO,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_sigorta_zon_no,TR_YangSigortaZonNo,EN_FireFireZoneNumber,tr,TR_YangSigortaZonNo,Yangın güvenlik zonu no,Fire safety zone number,TEXT,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_acil_isik_var_mi,TR_YangAcilIsikVarMi,EN_FireHasEmergencyLighting,tr,TR_YangAcilIsikVarMi,Acil durum aydınlatma var mı?,Is there emergency lighting?,YESNO,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_yonlendirme_var_mi,TR_YangYonlendirmeVarMi,EN_FireHasExitSignage,tr,TR_YangYonlendirmeVarMi,Acil durum yönlendirme var mı?,Is there emergency wayfinding signage?,YESNO,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
yang_siginma_alani,TR_YangSiginmaAlani,EN_FireRefugeArea,tr,TR_YangSiginmaAlani,Yangın sığınma alanı (m2),Fire refuge area (m2),AREA,TR-YANGIN GÜVENLİĞİ (BYKHY 2019),shared_param_definition_manual_en,guncellendi,EN-FIRE SAFETY (BFRR 2019)
deprem_bolgesi,TR_DepremBolgesi,EN_SeismicZone,tr,TR_DepremBolgesi,Deprem bölgesi DD-1/DD-2/DD-3/DD-4,Seismic zone DD-1/DD-2/DD-3/DD-4,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_yer_tipi,TR_DepremYerTipi,EN_SeismicSiteClass,tr,TR_DepremYerTipi,Zemin tipi ZA/ZB/ZC/ZD/ZE/ZF,Soil class ZA/ZB/ZC/ZD/ZE/ZF,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_bina_dps,TR_DepremBinaDPS,EN_SeismicBuildingPerformanceLevel,tr,TR_DepremBinaDPS,Deprem performans seviyesi (BKS-1/2/3),Seismic performance level (BKS-1/2/3),TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_kullanim,TR_DepremKullanim,EN_SeismicUse,tr,TR_DepremKullanim,Kullanım sınıfı KKS-1/KKS-2/KKS-3,Usage class KKS-1/KKS-2/KKS-3,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_tasiyici_sis,TR_DepremTasiyiciSis,EN_SeismicStructuralSystem,tr,TR_DepremTasiyiciSis,Depreme dayanıklı taşıyıcı sistem tipi,Seismic force-resisting structural system type,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_perde_sistem,TR_DepremPerdeSistem,EN_SeismicShearWallSystem,tr,TR_DepremPerdeSistem,Perde duvar sistemi,Shear wall system,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_sismik_analiz,TR_DepremSismikAnaliz,EN_SeismicAnalysisMethod,tr,TR_DepremSismikAnaliz,Sismik analiz yöntemi,Seismic analysis method,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_ss,TR_DepremSs,EN_SeismicSs,tr,TR_DepremSs,Kısa periyot spektral ivme Ss (g),Short-period spectral acceleration Ss (g),NUMBER,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_s1,TR_DepremS1,EN_SeismicS1,tr,TR_DepremS1,1 sn periyot spektral ivme S1 (g),1-second period spectral acceleration S1 (g),NUMBER,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_pga,TR_DepremPGA,EN_SeismicPGA,tr,TR_DepremPGA,PGA (g) tepe zemin ivmesi,Peak ground acceleration PGA (g),NUMBER,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_guclen_durumu,TR_DepremGuclenDurumu,EN_SeismicRetrofitStatus,tr,TR_DepremGuclenDurumu,Güçlendirme durumu,Strengthening status,TEXT,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
deprem_izolasyon_var_mi,TR_DepremIzolasyonVarMi,EN_SeismicHasBaseIsolation,tr,TR_DepremIzolasyonVarMi,Sismik izolasyon var mı?,Is there seismic isolation?,YESNO,TR-DEPREM (TBDY 2018),shared_param_definition_manual_en,guncellendi,EN-EARTHQUAKE (BSDC 2018)
eng_rampa_var_mi,TR_EngRampaVarMi,EN_AccessibleHasRamp,tr,TR_EngRampaVarMi,Engelli rampası var mı? (TS 9111),Is there an accessible ramp? (TS 9111),YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition_manual_en,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_rampa_egimi,TR_EngRampaEgimi,EN_AccessibleRampSlope,tr,TR_EngRampaEgimi,Rampa eğimi maks. (%) TS 9111,Maximum ramp slope (%) TS 9111,NUMBER,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition_manual_en,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_asansor_var_mi,TR_EngAsansorVarMi,EN_AccessibleHasLift,tr,TR_EngAsansorVarMi,Engelli asansörü var mı?,Is there an accessible elevator?,YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition_manual_en,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_wcvar_mi,TR_EngWCVarMi,EN_AccessibleHasWC,tr,TR_EngWCVarMi,Engelli WC var mı?,Is there an accessible WC?,YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition_manual_en,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_otopark_var_mi,TR_EngOtoparkVarMi,EN_AccessibleHasParking,tr,TR_EngOtoparkVarMi,Engelli otoparkı var mı?,Is there an accessible parking space?,YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_kapi_genislik,TR_EngKapiGenislik,EN_AccessibleDoorWidth,tr,TR_EngKapiGenislik,Engelli kapı genişliği min. 90 cm,Accessible door clear width min. 90 cm,LENGTH,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_hissedilebilir_yuzey,TR_EngHissedilebilirYuzey,EN_AccessibleTactileSurface,tr,TR_EngHissedilebilirYuzey,Hissedilebilir yüzey var mı?,Is there a tactile paving surface?,YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_braille_tabela,TR_EngBrailleTabela,EN_AccessibleBrailleSignage,tr,TR_EngBrailleTabela,Braille/sesli tabelalar var mı?,Are there Braille / audio signage?,YESNO,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_sertifika_durumu,TR_EngSertifikaDurumu,EN_AccessibleCertificateStatus,tr,TR_EngSertifikaDurumu,TS 9111 uygunluk belgesi durumu,TS 9111 compliance certificate status,TEXT,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
eng_gecis_genislik_koridor,TR_EngGecisGenislikKoridor,EN_AccessibleClearWidthCorridor,tr,TR_EngGecisGenislikKoridor,Koridor serbest geçiş genişliği (m),Corridor clear passage width (m),LENGTH,TR-ERİŞİLEBİLİRLİK (TS 9111),shared_param_definition,guncellendi,EN-ACCESSIBILITY (TS 9111)
enerji_sinifi,TR_EnerjiSinifi,EN_EnergyClass,tr,TR_EnerjiSinifi,Bina enerji sınıfı A+/A/B/C/D/E/F/G (BEP-TR),Building energy class A+/A/B/C/D/E/F/G (BEP-TR),TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
iklim_bolgesi,TR_IklimBolgesi,EN_ClimateZone,tr,TR_IklimBolgesi,İklim bölgesi 1-4 (TS 825),Climate zone 1-4 (TS 825),TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
cerceve_pencere_uw,TR_CercevePencereUw,EN_FrameWindowUw,tr,TR_CercevePencereUw,Pencere Uw değeri (W/m2K),Window Uw value (W/m2K),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
zemin_kat_udegeri,TR_ZeminKatUDegeri,EN_GroundFloorUValue,tr,TR_ZeminKatUDegeri,Zemin kat döşemesi U değeri (W/m2K),Ground floor slab U-value (W/m2K),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition_manual_en,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
isitma_sistemi,TR_IsitmaSistemi,EN_HeatingSystem,tr,TR_IsitmaSistemi,Isıtma sistemi tipi,Heating system type,TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition_manual_en,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
sogutma_sistemi,TR_SogutmaSistemi,EN_CoolingSystem,tr,TR_SogutmaSistemi,Soğutma sistemi tipi,Cooling system type,TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition_manual_en,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
havalandirma_sistemi,TR_HavalandirmaSistemi,EN_VentilationSystem,tr,TR_HavalandirmaSistemi,Havalandırma sistemi tipi,Ventilation system type,TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition_manual_en,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
yenilenebilir_enerji,TR_YenilenebilirEnerji,EN_RenewableEnergy,tr,TR_YenilenebilirEnerji,Yenilenebilir enerji sistemi (GES/RES vb),Renewable energy system (solar PV / wind etc.),TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
primary_enerji_tuketim,TR_PrimaryEnerjiTuketim,EN_PrimaryEnergyConsumption,tr,TR_PrimaryEnerjiTuketim,Birincil enerji tüketimi (kWh/m2.yıl),Primary energy consumption (kWh/m2.year),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
co2_emisyon,TR_CO2Emisyon,EN_CO2Emission,tr,TR_CO2Emisyon,CO2 emisyon değeri (kg/m2.yıl),CO2 emission value (kg/m2.year),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
bep_tr_rapor_no,TR_BepTrRaporNo,EN_BEPTRReportNumber,tr,TR_BepTrRaporNo,BEP-TR hesap raporu referans no,BEP-TR calculation report reference number,TEXT,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
duvar_udegeri,TR_DuvarUDegeri,EN_WallUValue,tr,TR_DuvarUDegeri,Dış duvar U değeri (W/m2K),U value (W/m2K),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
cati_udegeri,TR_CatiUDegeri,EN_RoofUValue,tr,TR_CatiUDegeri,Çatı/teras U değeri (W/m2K),U value (W/m2K),NUMBER,TR-ENERJİ VERİMLİLİĞİ (BEP-TR),shared_param_definition,guncellendi,EN-ENERGY EFFICIENCY (BEP-TR)
poz_no,TR_PozNo,EN_ItemNumber,tr,TR_PozNo,ÇŞB/YİGM poz numarası,MoEUA / YIGM unit price item number,TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_adi,TR_PozAdi,EN_ItemName,tr,TR_PozAdi,Poz adı (birim fiyat kitabına göre),Unit price item name (per price schedule),TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_birim,TR_PozBirim,EN_ItemUnit,tr,TR_PozBirim,"Birim (m, m2, m3, adet, ton vb)","Unit (m, m2, m3, pcs, ton etc.)",TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_miktar,TR_PozMiktar,EN_ItemQuantity,tr,TR_PozMiktar,Miktar (hesaplanan),Quantity (calculated),NUMBER,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_birim_fiyat,TR_PozBirimFiyat,EN_ItemUnitPrice,tr,TR_PozBirimFiyat,Birim fiyat (TL),Unit price (TRY),CURRENCY,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_toplam_tutar,TR_PozToplamTutar,EN_ItemTotalAmount,tr,TR_PozToplamTutar,Toplam tutar (TL),Total amount (TRY),CURRENCY,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_mahal_no,TR_PozMahalNo,EN_ItemRoomNumber,tr,TR_PozMahalNo,Mahal / bölge numarası,Room / zone number,TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_imalat_turu,TR_PozImalatTuru,EN_ItemWorkType,tr,TR_PozImalatTuru,İmalat türü (Kaba/İnce/Tesisat/Elektrik),Work type (Structural / Finishing / Mechanical / Electrical),TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_dahil_mi,TR_PozDahilMi,EN_ItemIncluded,tr,TR_PozDahilMi,Metraj programına dahil mi?,Included in quantity take-off schedule?,YESNO,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
poz_not,TR_PozNot,EN_ItemNote,tr,TR_PozNot,Poz açıklama notu,Unit price item description note,TEXT,TR-ÇŞB POZ NO VE METRAJ,shared_param_definition,guncellendi,EN-MOEU UNIT PRICE & QTO
